location,cases,density_per_km
El_Salvador,673127,70.99121857
El_Salvador-Ahuachapan,6774,548.8471069
El_Salvador-Cabanas,17774,194.1799164
El_Salvador-Cabañas,111,70.99121857
El_Salvador-Chalatenango,28317,109.3089676
El_Salvador-Cuscatlan,27613,140.902832
El_Salvador-Guatemala,205,4050.86377
El_Salvador-Honduras,89,4050.86377
El_Salvador-La_Libertad,51813,278.7900391
El_Salvador-La_Paz,7224,331.3556824
El_Salvador-La_Union,2542,222.5365448
El_Salvador-Morazan,6084,185.5107422
El_Salvador-San_Miguel,9416,392.8548584
El_Salvador-San_Salvador,129514,3471.045898
El_Salvador-San_Vicente,16074,215.9057617
El_Salvador-Santa_Ana,27863,693.1297607
El_Salvador-Sonsonate,4627,368.6403809
El_Salvador-Usulutan,8533,417.8297119
