location,cases,density_per_km
Nicaragua,31892,70.99121857
Nicaragua-Carazo,3,114.3531189
Nicaragua-Chinandega,7,194.6126099
Nicaragua-Chinandega-San_Pedro_del_Norte,1,64.16066742
Nicaragua-Granada,3,193.2033386
Nicaragua-Jinotega,1,171.1325073
Nicaragua-Leon,14,240.5872955
Nicaragua-Leon-Quetzalguaque,1,123.1710052
Nicaragua-Leon-Telica,1,60.93349838
Nicaragua-Managua,104,4173.909668
Nicaragua-Managua-Ciudad_Sandino,3,2353.492432
Nicaragua-Managua-Distrito_I,2,70.99121857
Nicaragua-Managua-Distrito_II,3,70.99121857
Nicaragua-Managua-Distrito_III,1,70.99121857
Nicaragua-Managua-Distrito_IV,2,70.99121857
Nicaragua-Managua-Distrito_V,1,70.99121857
Nicaragua-Masaya,19,1227.166992
Nicaragua-Masaya-Masatepe,1,719.3567505
Nicaragua-Masaya-Nindiri,2,387.7846985
Nicaragua-Masaya-San_Juan_de_Oriente,2,869.7952881
Nicaragua-Matagalpa,3,297.593811
Nicaragua-Nueva_Segovia,30,51.03972626
Nicaragua-Nueva_Segovia-Ocotal,3,606.1177979
Nicaragua-Other,15,55.03805542
Nicaragua-Rivas,5,163.6416321
Nicaragua-Rivas-Cardenas,1,53.17512512
