date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-03-19,22,13,0.0,11.6,5,73,05:01 PM,03:19 AM,06:57 AM,07:07 PM,9,17,18,17,36,10,58,0.0,1023,22,10,125,27,Argentina
2016-03-20,22,16,0.0,11.6,5,80,05:38 PM,04:15 AM,06:58 AM,07:05 PM,10,19,19,19,29,22,58,0.1,1022,22,10,95,21,Argentina
2016-03-21,24,17,0.0,10.3,5,87,06:11 PM,05:10 AM,06:59 AM,07:04 PM,14,20,21,20,20,58,69,3.4,1017,24,10,95,15,Argentina
2016-03-22,28,19,0.0,11.6,6,94,06:44 PM,06:05 AM,07:00 AM,07:02 PM,16,24,24,23,11,2,65,0.0,1016,28,10,117,8,Argentina
2016-03-23,30,17,0.0,11.6,6,100,07:16 PM,06:59 AM,07:01 AM,07:01 PM,14,24,24,23,19,2,60,0.0,1015,30,10,139,14,Argentina
2016-03-24,28,18,0.0,11.6,6,100,07:48 PM,07:52 AM,07:01 AM,07:00 PM,14,24,24,23,23,4,57,0.0,1018,28,10,218,18,Argentina
2016-03-25,21,17,0.0,5.8,4,84,08:21 PM,08:45 AM,07:02 AM,06:58 PM,13,19,19,19,44,86,71,0.4,1024,21,10,123,33,Argentina
2016-03-26,22,17,0.0,7.2,5,76,08:55 PM,09:39 AM,07:03 AM,06:57 PM,15,19,20,19,38,77,76,4.3,1021,22,10,124,27,Argentina
2016-03-27,25,18,0.0,11.5,5,69,09:33 PM,10:32 AM,07:04 AM,06:55 PM,15,21,21,21,34,48,73,1.1,1017,25,10,155,25,Argentina
2016-03-28,29,17,0.0,11.5,6,62,10:13 PM,11:25 AM,07:05 AM,06:54 PM,15,22,22,22,25,19,68,0.1,1015,29,10,204,17,Argentina
2016-03-29,29,20,0.0,8.7,6,55,10:58 PM,12:17 PM,07:05 AM,06:53 PM,14,25,25,24,13,31,53,0.0,1017,29,10,160,8,Argentina
