date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-14,32,19,0.0,11.6,7,86,08:20 PM,07:59 AM,06:10 AM,06:07 PM,17,26,26,25,5,31,66,0.3,1014,32,10,62,3,Colombia-Valle
2017-01-15,34,20,0.0,11.6,6,79,09:11 PM,08:49 AM,06:10 AM,06:07 PM,17,26,26,25,5,37,62,3.0,1013,34,10,120,3,Colombia-Valle
2017-01-16,36,20,0.0,11.6,7,71,09:59 PM,09:37 AM,06:10 AM,06:07 PM,17,27,27,26,5,33,63,1.4,1013,36,10,167,3,Colombia-Valle
2017-01-17,34,20,0.0,11.6,7,64,10:45 PM,10:21 AM,06:10 AM,06:08 PM,17,27,27,25,4,23,65,5.7,1014,34,10,224,3,Colombia-Valle
2017-01-18,36,20,0.0,11.6,7,57,11:30 PM,11:05 AM,06:11 AM,06:08 PM,17,27,27,26,4,20,62,5.1,1014,36,10,200,2,Colombia-Valle
2017-01-19,38,19,0.0,11.6,8,50,No moonrise,11:47 AM,06:11 AM,06:08 PM,14,27,27,27,5,9,51,0.0,1013,38,10,158,3,Colombia-Valle
2017-01-20,36,19,0.0,11.6,8,42,12:13 AM,12:29 PM,06:11 AM,06:09 PM,15,28,28,27,5,14,55,3.0,1014,36,10,83,3,Colombia-Valle
2017-01-21,33,20,0.0,11.6,6,35,12:58 AM,01:13 PM,06:11 AM,06:09 PM,16,26,26,25,6,23,62,8.3,1016,33,9,78,4,Colombia-Valle
2017-01-22,35,19,0.0,11.6,6,28,01:44 AM,01:58 PM,06:12 AM,06:09 PM,14,25,25,25,5,20,54,2.4,1015,35,10,138,3,Colombia-Valle
2017-01-23,36,18,0.0,11.6,7,20,02:30 AM,02:44 PM,06:12 AM,06:10 PM,13,26,26,25,5,10,49,1.1,1015,36,10,107,3,Colombia-Valle
2017-01-24,35,19,0.0,11.6,7,13,03:18 AM,03:32 PM,06:12 AM,06:10 PM,14,26,26,26,6,12,53,0.3,1015,35,10,88,3,Colombia-Valle
2017-01-25,34,20,0.0,10.2,6,6,04:07 AM,04:21 PM,06:12 AM,06:10 PM,15,25,25,25,5,48,61,7.7,1015,34,8,223,3,Colombia-Valle
2017-01-26,35,19,0.0,11.6,7,0,04:57 AM,05:12 PM,06:12 AM,06:10 PM,14,26,26,26,7,33,50,3.9,1015,35,10,247,5,Colombia-Valle
2017-01-27,35,21,0.0,11.6,6,0,05:47 AM,06:03 PM,06:13 AM,06:11 PM,16,27,27,26,4,45,58,5.9,1015,35,9,232,3,Colombia-Valle
2017-01-28,35,22,0.0,11.6,7,1,06:37 AM,06:54 PM,06:13 AM,06:11 PM,16,28,28,27,7,43,56,8.3,1014,35,9,231,5,Colombia-Valle
2017-01-29,37,21,0.0,11.6,6,8,07:27 AM,07:45 PM,06:13 AM,06:11 PM,17,28,28,27,5,39,58,10.7,1014,37,9,224,3,Colombia-Valle
2017-01-30,35,21,0.0,11.6,6,16,08:15 AM,08:35 PM,06:13 AM,06:11 PM,18,28,28,26,4,51,65,14.2,1015,35,9,142,2,Colombia-Valle
2017-01-31,33,20,0.0,11.6,6,20,09:04 AM,09:26 PM,06:13 AM,06:12 PM,17,27,27,25,7,41,63,3.2,1014,33,10,206,5,Colombia-Valle
2017-02-01,36,22,0.0,11.6,8,31,09:52 AM,10:17 PM,06:13 AM,06:12 PM,16,29,29,28,4,32,54,0.1,1013,36,10,122,3,Colombia-Valle
2017-02-02,37,22,0.0,11.6,7,39,10:41 AM,11:09 PM,06:13 AM,06:12 PM,15,29,29,27,4,28,51,0.7,1013,37,10,158,3,Colombia-Valle
2017-02-03,38,22,0.0,11.6,7,46,11:32 AM,No moonset,06:13 AM,06:12 PM,17,29,29,28,4,37,58,6.9,1013,38,9,162,3,Colombia-Valle
2017-02-04,36,22,0.0,11.6,6,54,12:25 PM,12:03 AM,06:13 AM,06:12 PM,17,28,28,27,5,33,60,15.1,1014,36,9,234,3,Colombia-Valle
2017-02-05,36,21,0.0,11.6,7,62,01:20 PM,12:58 AM,06:13 AM,06:12 PM,14,27,27,27,8,27,49,6.1,1013,36,10,243,5,Colombia-Valle
2017-02-06,38,21,0.0,11.6,7,69,02:17 PM,01:56 AM,06:13 AM,06:13 PM,13,28,28,27,6,20,45,1.2,1013,38,10,240,4,Colombia-Valle
2017-02-07,37,21,0.0,11.6,8,77,03:15 PM,02:54 AM,06:13 AM,06:13 PM,13,29,29,28,5,24,45,0.2,1012,37,10,238,3,Colombia-Valle
2017-02-08,40,21,0.0,11.6,8,84,04:14 PM,03:53 AM,06:13 AM,06:13 PM,12,29,29,29,4,18,38,0.1,1013,40,10,230,3,Colombia-Valle
2017-02-09,39,21,0.0,11.6,8,92,05:11 PM,04:50 AM,06:13 AM,06:13 PM,12,29,29,29,5,14,38,0.0,1014,39,10,162,3,Colombia-Valle
2017-02-10,39,21,0.0,11.6,8,99,06:06 PM,05:45 AM,06:13 AM,06:13 PM,13,29,29,28,4,9,43,0.0,1014,39,10,148,2,Colombia-Valle
2017-02-11,39,20,0.0,11.6,8,100,06:58 PM,06:37 AM,06:13 AM,06:13 PM,14,29,29,28,4,14,45,0.0,1013,39,10,109,3,Colombia-Valle
2017-02-12,37,23,0.0,11.6,6,86,07:48 PM,07:26 AM,06:13 AM,06:13 PM,16,28,28,27,5,35,54,6.3,1013,37,9,128,3,Colombia-Valle
2017-02-13,34,21,0.0,11.6,6,78,08:35 PM,08:13 AM,06:13 AM,06:13 PM,18,28,28,26,6,36,65,20.0,1013,34,8,101,4,Colombia-Valle
2017-02-14,34,20,0.0,11.6,6,71,09:22 PM,08:57 AM,06:13 AM,06:13 PM,16,27,27,26,6,25,60,9.5,1014,34,9,161,4,Colombia-Valle
2017-02-15,36,20,0.0,11.6,6,63,10:07 PM,09:41 AM,06:12 AM,06:13 PM,14,27,27,26,4,17,51,1.7,1016,36,10,170,3,Colombia-Valle
2017-02-16,35,21,0.0,11.6,7,55,10:52 PM,10:24 AM,06:12 AM,06:13 PM,14,27,27,26,6,24,49,2.3,1016,35,10,99,4,Colombia-Valle
2017-02-17,33,20,0.0,11.6,6,48,11:37 PM,11:07 AM,06:12 AM,06:13 PM,16,26,26,25,6,34,61,5.5,1016,33,9,90,4,Colombia-Valle
2017-02-18,37,20,0.0,11.6,7,40,No moonrise,11:51 AM,06:12 AM,06:13 PM,16,28,28,27,5,16,57,2.4,1015,37,10,127,3,Colombia-Valle
2017-02-19,38,19,0.0,11.6,8,33,12:23 AM,12:37 PM,06:12 AM,06:13 PM,13,28,28,27,2,10,48,0.0,1015,38,10,117,2,Colombia-Valle
