location,cases,density_per_km
Argentina-Buenos_Aires,793,12625.80078
Argentina-CABA,647,12625.80078
Argentina-Catamarca,59,460.153595
Argentina-Chaco,460,121.3316498
Argentina-Chubut,47,37.09564209
Argentina-Cordoba,238,2404.108887
Argentina-Corrientes,129,837.7285156
Argentina-Entre_Rios,120,72.49529266
Argentina-Formosa,95,41.44081116
Argentina-Jujuy,1328,146.1084595
Argentina-La_Pampa,8,46.05672455
Argentina-La_Rioja,12,17.69784164
Argentina-Mendoza,91,2292.493164
Argentina-Misiones,24,414.0570068
Argentina-Neuquen,70,64.00892639
Argentina-Rio_Negro,34,7.440681458
Argentina-Salta,799,347.3858643
Argentina-San_Juan,0,3898.334717
Argentina-San_Luis,37,19.51153183
Argentina-Santa_Cruz,34,4.21966362
Argentina-Santa_Fe,131,208.0922852
Argentina-Sgo_Del_Estero,23,138.0267029
Argentina-Tierra_del_Fuego,0,8.575727463
Argentina-Tucuman,914,6299.477539
