location,cases,density_per_km
Ecuador,199044,70.99121857
Ecuador-Azuay,66,5303.006836
Ecuador-Azuay-Cuenca,20,5303.006836
Ecuador-Bolivar,56,151.370636
Ecuador-Canar,35,190.8298798
Ecuador-Carchi,8,56.01155853
Ecuador-CaÃ±ar,15,70.99121857
Ecuador-Cañar,3,70.99121857
Ecuador-Chimborazo,47,50.11248779
Ecuador-Chimborazo-Chunchi,21,67.44215393
Ecuador-Cotopaxi,30,42.95606995
Ecuador-El_Oro,2241,1471.033447
Ecuador-El_Oro-Huaquillas,2,1374.493652
Ecuador-El_Oro-Machala,58,1471.033325
Ecuador-El_Oro-Pasaje,20,467.1458435
Ecuador-El_Oro-Santa_Rosa,9,356.6400146
Ecuador-Esmeraldas,3857,2939.078125
Ecuador-Esmeraldas-Atacames,3,206.9725342
Ecuador-Esmeraldas-Esmeraldas,977,2939.078125
Ecuador-Esmeraldas-Muisne,3,67.22619629
Ecuador-Esmeraldas-Quininde,89,62.59082794
Ecuador-Esmeraldas-Rioverde,5,84.18666077
Ecuador-Esmeraldas-San_Lorenzo,382,54.53178024
Ecuador-Galapagos,157,2.09861517
Ecuador-Galapagos-Santa_Cruz,40,2.777469873
Ecuador-Guayas,28147,75.21554565
Ecuador-Guayas-Balzar,8,54.65317917
Ecuador-Guayas-Daule,28,575.0009766
Ecuador-Guayas-General_Antonio_Elizalde,20,84.61782074
Ecuador-Guayas-Guayaquil,836,1303.386963
Ecuador-Guayas-Playas,6,192.0412903
Ecuador-Imbabura,132,683.3371582
Ecuador-Imbabura-Otavalo,1,718.2849121
Ecuador-Loja,11,704.2467041
Ecuador-Los_Rios,4127,1025.641846
Ecuador-Los_Rios-Buena_Fe,40,139.1467896
Ecuador-Los_Rios-Jaramijo,173,221.9373779
Ecuador-Los_Rios-Quevedo,28,1025.641846
Ecuador-Los_Rios-Ventanas,151,330.398407
Ecuador-Los_Rios-Vinces,20,122.6207428
Ecuador-Manabi,48930,621.6623535
Ecuador-Manabi-24_de_Mayo,10,5428.548828
Ecuador-Manabi-Chone,7,105.610611
Ecuador-Manabi-Jipijapa,580,143.4282837
Ecuador-Manabi-Manta,6108,1333.324463
Ecuador-Manabi-Montecristi,845,121.2643661
Ecuador-Manabi-Pajan,6,92.96832275
Ecuador-Manabi-Pedernales,20,51.5618515
Ecuador-Manabi-Portoviejo,4985,621.6623535
Ecuador-Manabi-Puerto_Lopez,31,63.52107239
Ecuador-Manabi-Rocafuerte,53,139.4500122
Ecuador-Manabi-San_Vicente,25,56.25702667
Ecuador-Manabi-Santa_Ana,41,82.3788147
Ecuador-Manabi-Sucre,367,79.6428833
Ecuador-Manabi-Tosagua,6,137.0556183
Ecuador-Napo,4,213.4833374
Ecuador-Orellana,279,572.0955811
Ecuador-Orellana_Joya_de_los_Sachas,20,151.1546631
Ecuador-Pichincha,732,5428.548828
Ecuador-Pichincha-Cayambe,3,166.237915
Ecuador-Pichincha-Mejia,20,76.48725891
Ecuador-Pichincha-Quito,485,5428.548828
Ecuador-Santa_Elena,732,307.060791
Ecuador-Santo_Domingo_de_los_Tsachilas,4847,367.6307373
Ecuador-Santo_Domingo_de_los_Tsachilas-La_Concordia,55,166.2632294
Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo,83,367.6307983
Ecuador-Sucumbios,429,217.6761017
Ecuador-Sucumbios-Lago_Agrio,2,217.6761169
Ecuador-Sucumbios-Shushufindi,38,83.25965881
Ecuador-Tungurahua,1,114.057251
Ecuador-Zamora-Chinchipe,16,70.99121857
