location,cases,density_per_km
Guatemala,89329,70.99121857
Guatemala-Alta_Verapaz,826,209.8040161
Guatemala-Baja_Verapaz,1416,105.2202301
Guatemala-Central,11635,56.83631897
Guatemala-Chimaltenango,209,2834.456055
Guatemala-Chiquimula,8301,302.9764709
Guatemala-El_Progreso,1676,131.6627045
Guatemala-El_Quiche,953,92.34140015
Guatemala-Escuintla,4994,327.1946411
Guatemala-Huehuetenango,734,136.5113525
Guatemala-Ixcan,326,111.3869934
Guatemala-Ixil,41,151.6984253
Guatemala-Izabal,2062,32.56488037
Guatemala-Jalapa,2923,227.1194916
Guatemala-Jutiapa,2955,245.1189728
Guatemala-Nor_Occidente,2862,5432.235352
Guatemala-Nor_Oriente,1002,4705.73877
Guatemala-Peten_Norte,759,21.74430275
Guatemala-Peten_Sur_Occidental,638,21.74430275
Guatemala-Peten_Sur_Oriental,2170,55.3155365
Guatemala-Quetzaltenango,10779,1319.414063
Guatemala-Quiche,411,92.34140015
Guatemala-Retalhuleu,2160,129.339386
Guatemala-Sacatepequez,413,1192.453613
Guatemala-San_Marcos,2520,616.7932739
Guatemala-Santa_Rosa,11529,173.4465027
Guatemala-Solola,176,1132.676514
Guatemala-Suchitepequez,5065,161.3009644
Guatemala-Sur,2343,1286.228027
Guatemala-Totonicapan,0,662.3096924
Guatemala-Zacapa,8494,163.9100494
