location,cases,density_per_km
Haiti,329,70.99121857
Haiti-Artibonite,112,415.3152466
Haiti-Artibonite-Desssalines_Marchand,1,748.3342896
Haiti-Artibonite-Ennery,7,385.2548828
Haiti-Artibonite-Gonaives,3,3054.817871
Haiti-Artibonite-Verrettes,42,435.5438538
Haiti-Centre,79,263.0572815
Haiti-Centre-Hinche,7,404.7184753
Haiti-Centre-Maissade,3,312.4395447
Haiti-Centre-Mirebalais,22,392.2281494
Haiti-Grande_Anse,12,315.8002319
Haiti-Grande_Anse-Corail,1,260.1532593
Haiti-Grande_Anse-Dame_Marie,3,552.1328735
Haiti-Grande_Anse-Roseaux,2,239.1038208
Haiti-Nippes,23,388.4007263
Haiti-Nippes-Fond_Des_Negres,7,424.3360596
Haiti-Nippes-Miragoane,1,1067.056152
Haiti-Nord,99,1756.340942
Haiti-Nord-Cap_Haitien,6,8909.734375
Haiti-Nord-Limbe,2,3684.207031
Haiti-Nord-Milot,2,1176.972778
Haiti-Nord-Pignon,3,521.5526123
Haiti-Nord-Plaine_du_Nord,12,759.0368042
Haiti-Nord-Plaisance,4,1584.039429
Haiti-Nord_Est,10,51.42595673
Haiti-Nord_Est-Ouanaminthe,4,1661.03772
Haiti-Nord_Ouest,7,267.9258423
Haiti-Nord_Ouest-La_Tortue,2,227.1595154
Haiti-Nord_Ouest-Saint_Louis_du_Nord,1,2633.94043
Haiti-Ouest,156,1030.800171
Haiti-Ouest-Carrefour,8,19935.47852
Haiti-Ouest-Croix_des_Bouquets,1,3529.599854
Haiti-Ouest-Delmas,13,24117.15625
Haiti-Ouest-Petion_Ville,31,7284.197754
Haiti-Ouest-Petit_Goave,2,4691.672852
Haiti-Ouest-Port_au_Prince,1,8698.419922
Haiti-Sud,19,326.2386169
Haiti-Sud-Aquin,8,342.6160278
Haiti-Sud_Est,16,894.4892578
Haiti-Sud_Est-Anse_A_Pitres,1,141.0298462
Haiti-Sud_Est-Cotes_de_Fer,3,240.7550659
Haiti-Sud_Est-Marigot,1,761.3251953
