location,cases,density_per_km
United_States-Alabama,699,8.525882721
United_States-Alaska,8,70.99121857
United_States-American_Samoa,2325,70.99121857
United_States-Arizona,935,0.05785632879
United_States-Arkansas,325,32.92495728
United_States-California,7817,28.92959976
United_States-Colorado,1050,0.1714942902
United_States-Connecticut,1335,816.0541382
United_States-Delaware,400,73.29888916
United_States-District_of_Columbia,638,7953.88623
United_States-Florida,21496,32.40045166
United_States-Florida-Alachua_County,29,1149.695435
United_States-Florida-Baker_County,0,118.6040421
United_States-Florida-Bay_County,0,845.0822754
United_States-Florida-Bradford_County,0,979.6985474
United_States-Florida-Brevard_County,16,712.3817749
United_States-Florida-Broward_County,105,233.566925
United_States-Florida-Calhoun_County,0,624.7852783
United_States-Florida-Charlotte_County,0,2444.838623
United_States-Florida-Citrus_County,0,161.4387817
United_States-Florida-Clay_County,5,141.5728912
United_States-Florida-Collier_County,5,0.2153967768
United_States-Florida-Columbia_County,0,1200.752686
United_States-Florida-DeSoto_County,0,1193.383789
United_States-Florida-Dixie_County,0,21.7202549
United_States-Florida-Duval_County,0,1926.731567
United_States-Florida-Escambia_County,0,124.3610001
United_States-Florida-Flagler_County,0,13.71898556
United_States-Florida-Franklin_County,0,1002.823486
United_States-Florida-Gadsden_County,0,847.4251709
United_States-Florida-Gilchrist_County,0,17.94694138
United_States-Florida-Glades_County,0,105.5773621
United_States-Florida-Gulf_County,0,212.1322632
United_States-Florida-Hamilton_County,0,2256.319336
United_States-Florida-Hardee_County,0,1.269548416
United_States-Florida-Hendry_County,0,31.72906113
United_States-Florida-Hernando_County,0,705.5292358
United_States-Florida-Highlands_County,0,85.18490601
United_States-Florida-Hillsborough_County,40,981.2385254
United_States-Florida-Holmes_County,0,534.0476074
United_States-Florida-IndianRiver_County,0,267.8310242
United_States-Florida-Jackson_County,0,382.1160889
United_States-Florida-Jefferson_County,0,432.7188721
United_States-Florida-Lafayette_County,0,1978.009155
United_States-Florida-Lake_County,0,24.2226162
United_States-Florida-Lee_County,40,11.76631737
United_States-Florida-Leon_County,0,202.4003906
United_States-Florida-Levy_County,0,1.931229472
United_States-Florida-Liberty_County,0,1503.398804
United_States-Florida-Madison_County,0,7669.705078
United_States-Florida-Manatee_County,0,22.74578667
United_States-Florida-Marion_County,0,1156.84436
United_States-Florida-Martin_County,0,951.8808594
United_States-Florida-Miami_Dade_County,303,3.400381327
United_States-Florida-Monroe_County,0,802.9696655
United_States-Florida-Nassau_County,0,1312.159424
United_States-Florida-Not_Reported,40,70.99121857
United_States-Florida-Okaloosa_County,0,17.46623802
United_States-Florida-Okeechobee_County,0,505.4174194
United_States-Florida-Orange_County,41,3343.263672
United_States-Florida-Osceola_County,32,346.3033447
United_States-Florida-PalmBeach_County,14,705.2325439
United_States-Florida-Pasco_County,0,2548.019531
United_States-Florida-Pinellas_County,0,1943.637329
United_States-Florida-Polk_County,18,11.48985672
United_States-Florida-Putnam_County,0,69.3518219
United_States-Florida-SantaRosa_County,13,2641.216309
United_States-Florida-Sarasota_County,0,1836.75061
United_States-Florida-Seminole_County,9,1526.570679
United_States-Florida-StJohns_County,12,38.14278412
United_States-Florida-StLucie_County,0,4.751268387
United_States-Florida-Sumter_County,0,717.5541382
United_States-Florida-Suwannee_County,0,42.78505325
United_States-Florida-Taylor_County,0,1293.761108
United_States-Florida-Union_County,0,3.850280762
United_States-Florida-Volusia_County,0,42.17767715
United_States-Florida-Wakulla_County,0,43.01987839
United_States-Florida-Walton_County,0,492.4740601
United_States-Florida-Washington_County,0,7.217485428
United_States-Georgia,2317,9.850274086
United_States-Hawaii,471,70.99121857
United_States-Idaho,71,0.03507591784
United_States-Illinois,2000,8.198667526
United_States-Indiana,1066,15.49669075
United_States-Iowa,534,1.921894073
United_States-Kansas,420,0.1472851932
United_States-Kentucky,646,32.84706879
United_States-Louisiana,805,30.92749023
United_States-Maine,333,6.144123077
United_States-Maryland,2763,192.4495544
United_States-Massachusetts,2526,59.07201385
United_States-Michigan,1373,5.506025314
United_States-Minnesota,1457,3.461680651
United_States-Mississippi,549,13.65816021
United_States-Missouri,735,39.00273132
United_States-Montana,173,0.02271545678
United_States-Nebraska,291,0.835295558
United_States-Nevada,468,0.00795837678
United_States-New_Hampshire,294,152.4410706
United_States-New_Jersey,3410,33.96152878
United_States-New_Mexico,185,0.005322497338
United_States-New_York,21696,22038.99414
United_States-North_Carolina,1846,26.09412766
United_States-North_Dakota,42,0.2603324652
United_States-Ohio,1667,31.49454117
United_States-Oklahoma,674,6.019553185
United_States-Oregon,897,0.1839526743
United_States-Pennsylvania,3454,52.8453598
United_States-Rhode_Island,971,210.4566956
United_States-Tennessee,1194,12.37427616
United_States-Texas,6046,0.3270732164
United_States-Utah,390,0.04515062273
United_States-Vermont,240,147.6290894
United_States-Virginia,2425,1.236979961
United_States-Washington,1172,7.217485428
United_States-West_Virginia,363,2.701630592
United_States-Wisconsin,927,9.017390251
United_States-Wyoming,44,0.03893524781
