location,cases,density_per_km
Brazil,1091664,70.99121857
Brazil-Acre,8497,0.4666447043
Brazil-Alagoas,39838,17.65341949
Brazil-Amapa,1919,281.2562561
Brazil-Amazonas,20085,0.3322117627
Brazil-Bahia,378167,18.94205475
Brazil-Ceara,40820,49.29203796
Brazil-Distrito_Federal,4818,717.4830933
Brazil-Espirito_Santo,25390,17.38629532
Brazil-Goias,31249,1.832498312
Brazil-Maranhao,35746,11.19390392
Brazil-Mato_Grosso,160768,0.1857762337
Brazil-Mato_Grosso_do_Sul,7108,14.96907234
Brazil-Minas_Gerais,96030,1.631079912
Brazil-Para,15917,12.25721359
Brazil-Paraiba,67817,4.566781044
Brazil-Parana,18568,3.277939558
Brazil-Pernambuco,109578,6.583462238
Brazil-Piaui,13692,6.173742294
Brazil-Rio_Grande_do_Norte,40294,4.769876003
Brazil-Rio_Grande_do_Sul,9724,14425.56543
Brazil-Rio_de_Janeiro,332527,1505.105469
Brazil-Rondonia,8506,0.002929881448
Brazil-Roraima,2120,0.3885240853
Brazil-Santa_Catarina,1686,1.234752417
Brazil-Sao_Paulo,56406,15765.92383
Brazil-Sergipe,18612,105.8627014
Brazil-Tocantins,34052,815.6812134
