location,cases,density_per_km
Colombia,6075,70.99121857
Colombia--,0,70.99121857
Colombia-Amazonas,2282,0.3364670277
Colombia-Amazonas-El_Encanto,0,0.7248452902
Colombia-Amazonas-La_Chorrera,0,0.5425124168
Colombia-Amazonas-La_Pedrera,57,0.5697851181
Colombia-Amazonas-La_Victoria,0,96.7806778
Colombia-Amazonas-Leticia,8886,17.07582855
Colombia-Amazonas-Miriti_-_Parana,0,70.99121857
Colombia-Amazonas-Miriti_Parana,0,0.5697851181
Colombia-Amazonas-Puerto_Alegria,0,0.3709945977
Colombia-Amazonas-Puerto_Arica,18,0.2253872603
Colombia-Amazonas-Puerto_Narino,426,10.44028282
Colombia-Amazonas-Puerto_Santander,0,219.8778687
Colombia-Amazonas-Tarapaca,0,0.8734766245
Colombia-Amazonas-Unknown,1270,70.99121857
Colombia-Antioquia,23137,75.59451294
Colombia-Antioquia-Abejorral,116,55.1424942
Colombia-Antioquia-Abriaqui,0,12.82225227
Colombia-Antioquia-Alejandria,0,42.1830864
Colombia-Antioquia-Amaga,154,458.28125
Colombia-Antioquia-Amalfi,2,23.62702179
Colombia-Antioquia-Andes,86,2924.948242
Colombia-Antioquia-Angelopolis,36,129.9701233
Colombia-Antioquia-Angostura,1,54.16404343
Colombia-Antioquia-Anori,10,14.78940201
Colombia-Antioquia-Anza,356,44.35679245
Colombia-Antioquia-Apartado,12737,337.5601807
Colombia-Antioquia-Arboletes,513,55.3443985
Colombia-Antioquia-Argelia,18,57.340168
Colombia-Antioquia-Armenia,184,3085.708008
Colombia-Antioquia-Barbosa,102,286.2831421
Colombia-Antioquia-Bello,1574,3486.786133
Colombia-Antioquia-Belmira,74,30.9217453
Colombia-Antioquia-Betania,11,82.35179138
Colombia-Antioquia-Betulia,4,83.959198
Colombia-Antioquia-Briceno,0,50.83168411
Colombia-Antioquia-Buritica,42,26.79125595
Colombia-Antioquia-Caceres,1660,21.32377815
Colombia-Antioquia-Caicedo,3,55.11973572
Colombia-Antioquia-Caldas,155,8.757612228
Colombia-Antioquia-Campamento,0,66.44415283
Colombia-Antioquia-Canasgordas,87,64.67404175
Colombia-Antioquia-Caracoli,37,25.7679348
Colombia-Antioquia-Caramanta,113,84.28153992
Colombia-Antioquia-Carepa,4015,154.775177
Colombia-Antioquia-Carolina,70,32.44400787
Colombia-Antioquia-Caucasia,3360,88.915802
Colombia-Antioquia-Chigorodo,6073,113.8078232
Colombia-Antioquia-Cisneros,14,248.6001587
Colombia-Antioquia-Ciudad_Bolivar,241,142.6383972
Colombia-Antioquia-Cocorna,40,93.21203613
Colombia-Antioquia-Concepcion,1,35.36997223
Colombia-Antioquia-Concordia,45,124.5329056
Colombia-Antioquia-Copacabana,145,1293.366455
Colombia-Antioquia-Dabeiba,148,16.77513504
Colombia-Antioquia-Don_Matias,11,122.2701721
Colombia-Antioquia-Ebejico,135,72.86564636
Colombia-Antioquia-El_Bagre,186,38.43832779
Colombia-Antioquia-El_Carmen_De_Viboral,59,129.7296906
Colombia-Antioquia-El_Santuario,10,472.5284729
