location,cases,density_per_km
Dominican_Republic,259483,70.99121857
Dominican_Republic-Azua,7864,3252.601807
Dominican_Republic-Azua-Compostela,1,3252.601807
Dominican_Republic-Baoruco,565,207.6731262
Dominican_Republic-Barahona,2493,2050.260742
Dominican_Republic-Barahona,2493,2050.260742
Dominican_Republic-Dajabon,1124,908.3621826
Dominican_Republic-Distrito_Nacional,44324,12376.08594
Dominican_Republic-Distrito_Nacional,44324,12376.08594
Dominican_Republic-Duarte,3045,110.775589
Dominican_Republic-El_Seibo,653,62.58531952
Dominican_Republic-Elias_Pina,305,26.73835754
Dominican_Republic-Espaillat,6776,228.3117371
Dominican_Republic-Extranjera,27,198.687561
Dominican_Republic-Hato_Mayor,1887,24.76267242
Dominican_Republic-Hermanas_Mirabal,1165,283.486969
Dominican_Republic-Independencia,3983,18.34076691
Dominican_Republic-Independencia,3983,18.34076691
Dominican_Republic-Jimani_de_Independencia,14,125.5476456
Dominican_Republic-La_Altagracia,6367,283.8543396
Dominican_Republic-La_Romana,3059,623.6870728
Dominican_Republic-La_Vega,3926,448.6323853
Dominican_Republic-Luperon-Puerto_Plata,1,651.6904297
Dominican_Republic-Maria_Trinidad_Sanchez,991,1011.518433
Dominican_Republic-Monsenor_Nouel,1971,523.8378906
Dominican_Republic-Monte_Cristi,821,44.23590088
Dominican_Republic-Monte_Plata,2890,354.8603516
Dominican_Republic-Other,55,198.687561
Dominican_Republic-Pedernales,587,85.20275116
Dominican_Republic-Peravia,2927,419.7758179
Dominican_Republic-Puerto_Plata,11062,651.6904297
Dominican_Republic-Samana,2128,177.534256
Dominican_Republic-San_Cristobal,14638,1514.538574
Dominican_Republic-San_Jose_de_Ocoa,4687,218.1297607
Dominican_Republic-San_Juan,1755,316.285675
Dominican_Republic-San_Pedro_de_Macoris,2494,1993.4646
Dominican_Republic-Sanchez_Ramirez,1396,147.182251
Dominican_Republic-Santa_Cruz-Barahona,7,2050.260742
Dominican_Republic-Santiago,15761,4150.22168
Dominican_Republic-Santiago-Caballeros,1,4150.22168
Dominican_Republic-Santiago-Rodriguez,1058,41.27574921
Dominican_Republic-Santo_Domingo,97704,12376.08594
Dominican_Republic-Santo_Domingo,97704,12376.08594
Dominican_Republic-Santo_Domingo_Este,4,9760.294922
Dominican_Republic-Santo_Domingo_Norte,3,565.4216309
Dominican_Republic-Santo_Domingo_Oeste,1,9507.834961
Dominican_Republic-Valverde,5078,983.0484009
