,location,cases,density_per_km
1546,Mexico-Aguascalientes,21,7810.249023
1547,Mexico-Baja_California,136,0.02615575492
1548,Mexico-Baja_California_Sur,447,0.692892313
1549,Mexico-Campeche,1513,0.06487607956
1550,Mexico-Chiapas,19555,7786.619141
1551,Mexico-Chihuahua,0,4778.333984
1552,Mexico-Coahuila_de_Zaragoza,3797,5.037828922
1553,Mexico-Colima,4450,10.11670971
1554,Mexico-Distrito_Federal,0,14325.61719
1555,Mexico-Durango,18,12.65154648
1556,Mexico-Guanajuato,62,8491.022461
1557,Mexico-Guerrero,19447,29.28565788
1558,Mexico-Hidalgo,4408,1651.119873
1559,Mexico-Jalisco,5611,4593.84082
1560,Mexico-Mexico,418,7.910103798
1561,Mexico-Michoacan_de_Ocampo,1343,188.32547
1562,Mexico-Morelos,7594,243.1723938
1563,Mexico-Nayarit,11158,8.520962715
1564,Mexico-Nuevo_Leon,8968,4271.414063
1565,Mexico-Oaxaca,13704,5096.323242
1566,Mexico-Puebla,3741,6606.706055
1567,Mexico-Queretaro_de_Arteaga,305,6959.104004
1568,Mexico-Quintana_Roo,5555,6.076494217
1569,Mexico-San_Luis_Potosi,8679,7812.388672
1570,Mexico-Sinaloa,1782,2.235557795
1571,Mexico-Sonora,776,0.04773048311
1572,Mexico-Tabasco,5745,53.3853569
1573,Mexico-Tamaulipas,11796,2.593869686
1574,Mexico-Tlaxcala,0,4342.147461
1575,Mexico-Veracruz_de_Ignacio_de_la_Llave,31892,45.63874054
1576,Mexico-Yucatan,11731,4.269870758
1577,Mexico-Zacatecas,11,8414.691406
