location,cases,density_per_km
Panama,19936,70.99121857
Panama-Bocas_del_Toro,1310,138.6491394
Panama-Bocas_del_Toro-Bastimento,1,42.69947815
Panama-Bocas_del_Toro-Bocas_del_Toro,5,138.6491394
Panama-Chiriqui,87,52.24801636
Panama-Cocle,158,22.80858803
Panama-Cocle-Rio_Hato,2,94.65104675
Panama-Colon,316,3637.561768
Panama-Colon-Salamanca,38,10.84372044
Panama-Colon-San_Juan,16,206.9074097
Panama-Costa_del_Este,0,5490.580078
Panama-Darien,120,0.9715133309
Panama-Darien-Rio_Congo,20,3.393445015
Panama-Herrera,6400,34.72913361
Panama-Herrera-Chitre,59,721.0010376
Panama-Importados,275,8095.056641
Panama-Importados-Hotel,55,70.99121857
Panama-Kuna_Yala,8274,18.77334213
Panama-Kuna_Yala-Achutupu,196,18.77334213
Panama-Kuna_Yala-Acuatupu,207,18.77334213
Panama-Kuna_Yala-Ailigandi,72,19.99339676
Panama-Kuna_Yala-Ailitupu,34,19.99339676
Panama-Kuna_Yala-Carti_Sugdup,509,19.99339676
Panama-Kuna_Yala-Corazon_de_Jesus,128,12.69586945
Panama-Kuna_Yala-Mamitupu,34,18.77334404
Panama-Kuna_Yala-Mulatupu,119,19.99339676
Panama-Kuna_Yala-Nalugena,23,19.99339676
Panama-Kuna_Yala-Naranjo_Chico,36,12.6958704
Panama-Kuna_Yala-Nargana,354,12.69586945
Panama-Kuna_Yala-Ogobsucum,154,19.99339676
Panama-Kuna_Yala-Playon_Chico,134,18.77334213
Panama-Kuna_Yala-Pto_Obaldia,173,19.99339676
Panama-Kuna_Yala-Rio_Azucar,58,12.69586945
Panama-Kuna_Yala-Rio_Sidra,106,12.69586945
Panama-Kuna_Yala-Soledad_Miria,19,12.6958704
Panama-Kuna_Yala-Soledad_Miriam,80,12.6958704
Panama-Kuna_Yala-Ustupu,350,18.77334213
Panama-Kuna_Yala-Wichubhula,22,19.99339676
Panama-Los_Santos,1722,10.50431252
Panama-Metro,19836,22878.96484
Panama-Metro-24_de_Diciembre,17,1096.498901
Panama-Metro-Ancon,55,178.6451111
Panama-Metro-Arnulfo_Arias,14,10528.51953
Panama-Metro-Bella_Vista,280,10285.88184
Panama-Metro-Bethania,138,4776.397949
Panama-Metro-Calidonia,34,16169.60547
Panama-Metro-Chorrillo,48,7821.947754
Panama-Metro-Clayton,20,227.3785858
Panama-Metro-Costa_del_Este,36,5490.580078
Panama-Metro-Gamboa,20,95.85559082
Panama-Metro-Juan_Diaz,149,3339.008789
Panama-Metro-Las_Garzas,19,24970.13281
Panama-Metro-Man_anitas,12,2127.669434
Panama-Metro-Parque_Lefevre,167,6783.277832
Panama-Metro-Pedregal,21,3514.25
Panama-Metro-Pueblo_Nuevo,40,7561.492188
Panama-Metro-Rio_Abajo,26,7259.742676
Panama-Metro-SanFrancisco,211,10210.58984
Panama-Metro-San_Felipe,39,24970.13281
Panama-Metro-Santa_Ana,28,12731.43164
Panama-Metro-Taboga,14,105.4752808
Panama-Metro-Tocumen,165,1172.265137
Panama-Metro-Veracruz,37,892.9016113
Panama-Ngabe_Bugle,121,9.576962471
Panama-P.Este-Las_Margaritas,14,61.04036331
Panama-P_Oeste,19,157.1483002
Panama-Panama_Este,267,13518.55957
Panama-Panama_Norte,1394,1394.283691
Panama-Panama_Norte-Chilibre,28,67.16465759
Panama-Panama_Norte-Ernesto_Cordoba,17,2443.093506
Panama-Panama_Norte-las_cumbres,98,1982.912109
Panama-Panama_Oeste,4575,19.99339676
Panama-Panama_Oeste-Arraija_n,28,726.6074219
Panama-Panama_Oeste-El_Coco,36,1632.139893
Panama-Panama_Oeste-Gorgona,21,219.2851868
Panama-Panama_Oeste-Guadalupe,33,5438.447266
Panama-Panama_Oeste-La_Chorrera,36,3034.531006
Panama-Panama_Oeste-La_Mitra,21,488.2963257
Panama-Panama_Oeste-Playa_Leona,16,227.5547485
Panama-Panama_Oeste-Vista_Alegre,195,3720.74707
Panama-SD,1,19.99339676
Panama-San_Los_Santos-La_Villa,24,156.2494965
Panama-San_Miguelito,4491,10528.51953
Panama-San_Miguelito-Altos_de_Panama,14,2168.789795
Panama-San_Miguelito-Brisas_del_Golf,16,5195.260254
Panama-San_Miguelito-Camino_Real,29,3722.047363
Panama-San_Miguelito-Condado_del_Rey,16,4790.482422
Panama-San_Miguelito-Mano_de_Piedra,15,75.21585083
Panama-San_Miguelito-Ojo_de_Agua,17,52.00958633
Panama-San_Miguelito-Omar_Torrijos,17,4624.540527
Panama-San_Miguelito-Quintas_de_Montichello,15,6801.344238
Panama-San_Miguelito-Samaria,15,11214.02734
Panama-San_Miguelito-San_Jose,16,5.062478065
Panama-San_Miguelito-Victoriano_Lorenzo,24,7430.234375
Panama-San_Miguelito-Villa_Guadalupe,40,6892.426758
Panama-San_Miguelito-Villa_Lucre,17,11670.17676
Panama-San_Miguelito-Villas_del_Golf,19,535.8929443
Panama-Sin_Especificar,6,19.99339676
Panama-Veraguas,171,25.58414078
Panama-Veraguas-Santiago,14,474.4801941
