location,cases,density_per_km
Argentina-Buenos_Aires,793,12625.80078125
Argentina-CABA,647,12625.80078125
Argentina-Catamarca,59,460.1535949707031
Argentina-Chaco,460,121.33164978027344
Argentina-Chubut,47,37.09564208984375
Argentina-Cordoba,238,2404.10888671875
Argentina-Corrientes,129,837.728515625
Argentina-Entre_Rios,120,72.49529266357422
Argentina-Formosa,95,41.44081115722656
Argentina-Jujuy,1328,146.10845947265625
Argentina-La_Pampa,8,46.05672454833984
Argentina-La_Rioja,12,17.69784164428711
Argentina-Mendoza,91,2292.4931640625
Argentina-Misiones,24,414.0570068359375
Argentina-Neuquen,70,64.00892639160156
Argentina-Rio_Negro,34,7.440681457519531
Argentina-Salta,799,347.3858642578125
Argentina-San_Juan,0,3898.334716796875
Argentina-San_Luis,37,19.511531829833984
Argentina-Santa_Cruz,34,4.219663619995117
Argentina-Santa_Fe,131,208.09228515625
Argentina-Sgo_Del_Estero,23,138.02670288085938
Argentina-Tierra_del_Fuego,0,8.575727462768555
Argentina-Tucuman,914,6299.4775390625
Brazil,1091664,70.99121856689453
Brazil-Acre,8497,0.4666447043418884
Brazil-Alagoas,39838,17.653419494628906
Brazil-Amapa,1919,281.2562561035156
Brazil-Amazonas,20085,0.3322117626667022
Brazil-Bahia,378167,18.94205474853516
Brazil-Ceara,40820,49.29203796386719
Brazil-Distrito_Federal,4818,717.4830932617188
Brazil-Espirito_Santo,25390,17.386295318603516
Brazil-Goias,31249,1.83249831199646
Brazil-Maranhao,35746,11.193903923034668
Brazil-Mato_Grosso,160768,0.1857762336730957
Brazil-Mato_Grosso_do_Sul,7108,14.969072341918944
Brazil-Minas_Gerais,96030,1.631079912185669
Brazil-Para,15917,12.257213592529297
Brazil-Paraiba,67817,4.566781044006348
Brazil-Parana,18568,3.277939558029175
Brazil-Pernambuco,109578,6.583462238311768
Brazil-Piaui,13692,6.173742294311523
Brazil-Rio_Grande_do_Norte,40294,4.769876003265381
Brazil-Rio_Grande_do_Sul,9724,14425.5654296875
Brazil-Rio_de_Janeiro,332527,1505.10546875
Brazil-Rondonia,8506,0.0029298814479261
Brazil-Roraima,2120,0.3885240852832794
Brazil-Santa_Catarina,1686,1.2347524166107178
Brazil-Sao_Paulo,56406,15765.923828125
Brazil-Sergipe,18612,105.86270141601562
Brazil-Tocantins,34052,815.6812133789062
Centro-Oeste,174918,70.99121856689453
Colombia,6075,70.99121856689453
Colombia--,0,70.99121856689453
Colombia-Amazonas,2282,0.3364670276641845
Colombia-Amazonas-El_Encanto,0,0.724845290184021
Colombia-Amazonas-La_Chorrera,0,0.5425124168395996
Colombia-Amazonas-La_Pedrera,57,0.5697851181030273
Colombia-Amazonas-La_Victoria,0,96.78067779541016
Colombia-Amazonas-Leticia,8886,17.075828552246094
Colombia-Amazonas-Miriti_-_Parana,0,70.99121856689453
Colombia-Amazonas-Miriti_Parana,0,0.5697851181030273
Colombia-Amazonas-Puerto_Alegria,0,0.3709945976734161
Colombia-Amazonas-Puerto_Arica,18,0.2253872603178024
Colombia-Amazonas-Puerto_Narino,426,10.440282821655272
Colombia-Amazonas-Puerto_Santander,0,219.87786865234372
Colombia-Amazonas-Tarapaca,0,0.8734766244888306
Colombia-Amazonas-Unknown,1270,70.99121856689453
Colombia-Antioquia,23137,75.59451293945312
Colombia-Antioquia-Abejorral,116,55.14249420166016
Colombia-Antioquia-Abriaqui,0,12.82225227355957
Colombia-Antioquia-Alejandria,0,42.18308639526367
Colombia-Antioquia-Amaga,154,458.28125
Colombia-Antioquia-Amalfi,2,23.62702178955078
Colombia-Antioquia-Andes,86,2924.9482421875
Colombia-Antioquia-Angelopolis,36,129.97012329101562
Colombia-Antioquia-Angostura,1,54.16404342651367
Colombia-Antioquia-Anori,10,14.78940200805664
Colombia-Antioquia-Anza,356,44.35679244995117
Colombia-Antioquia-Apartado,12737,337.5601806640625
Colombia-Antioquia-Arboletes,513,55.34439849853516
Colombia-Antioquia-Argelia,18,57.34016799926758
Colombia-Antioquia-Armenia,184,3085.7080078125
Colombia-Antioquia-Barbosa,102,286.2831420898437
Colombia-Antioquia-Bello,1574,3486.7861328125
Colombia-Antioquia-Belmira,74,30.92174530029297
Colombia-Antioquia-Betania,11,82.35179138183594
Colombia-Antioquia-Betulia,4,83.95919799804688
Colombia-Antioquia-Briceno,0,50.83168411254883
Colombia-Antioquia-Buritica,42,26.79125595092773
Colombia-Antioquia-Caceres,1660,21.32377815246582
Colombia-Antioquia-Caicedo,3,55.11973571777344
Colombia-Antioquia-Caldas,155,8.757612228393555
Colombia-Antioquia-Campamento,0,66.44415283203125
Colombia-Antioquia-Canasgordas,87,64.67404174804688
Colombia-Antioquia-Caracoli,37,25.767934799194336
Colombia-Antioquia-Caramanta,113,84.28153991699219
Colombia-Antioquia-Carepa,4015,154.77517700195312
Colombia-Antioquia-Carolina,70,32.44400787353516
Colombia-Antioquia-Caucasia,3360,88.91580200195312
Colombia-Antioquia-Chigorodo,6073,113.80782318115234
Colombia-Antioquia-Cisneros,14,248.60015869140625
Colombia-Antioquia-Ciudad_Bolivar,241,142.63839721679688
Colombia-Antioquia-Cocorna,40,93.2120361328125
Colombia-Antioquia-Concepcion,1,35.369972229003906
Colombia-Antioquia-Concordia,45,124.53290557861328
Colombia-Antioquia-Copacabana,145,1293.366455078125
Colombia-Antioquia-Dabeiba,148,16.775135040283203
