Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,56.1022705830781,56.0463554436975,55.9544729116194
Age dependency ratio (% of working-age population),SP.POP.DPND,Brazil,BRA,43.57751318923,43.4500601777909,43.3833797280159
Age dependency ratio (% of working-age population),SP.POP.DPND,Colombia,COL,47.0200238173727,46.5330296725394,46.1047252046563
Age dependency ratio (% of working-age population),SP.POP.DPND,Dominican Republic,DOM,54.3752255816201,54.1558892118704,53.9881688528569
Age dependency ratio (% of working-age population),SP.POP.DPND,Ecuador,ECU,54.9684318998361,54.5899529995753,54.2873674589276
Age dependency ratio (% of working-age population),SP.POP.DPND,El Salvador,SLV,55.7100455312229,55.1598263351246,54.8447185346336
Age dependency ratio (% of working-age population),SP.POP.DPND,Guatemala,GTM,67.3700123489088,65.9674317386831,64.6021935345889
Age dependency ratio (% of working-age population),SP.POP.DPND,Haiti,HTI,63.2179913602684,62.4956166711203,61.7904348706396
Age dependency ratio (% of working-age population),SP.POP.DPND,Mexico,MEX,51.9253743986976,51.4692418591974,51.0129948515527
Age dependency ratio (% of working-age population),SP.POP.DPND,Nicaragua,NIC,55.7345622192676,55.2811606609765,54.9166833391837
Age dependency ratio (% of working-age population),SP.POP.DPND,Panama,PAN,54.6304793801718,54.4387220752457,54.2425425232839
Age dependency ratio (% of working-age population),SP.POP.DPND,Puerto Rico,PRI,53.5671396887791,54.2575122745947,55.0650589211038
Age dependency ratio (% of working-age population),SP.POP.DPND,Virgin Islands (U.S.),VIR,61.9046184890147,62.9716837819773,63.9400021449693
Age dependency ratio (% of working-age population),SP.POP.DPND,United States,USA,51.6461673051109,52.1558060196527,52.7106771133606
"Age dependency ratio, old",SP.POP.DPND.OL,Argentina,ARG,16.9526709001933,17.1490383896585,17.3386897637727
"Age dependency ratio, old",SP.POP.DPND.OL,Brazil,BRA,11.9193560128631,12.3445833852203,12.7938666350351
"Age dependency ratio, old",SP.POP.DPND.OL,Colombia,COL,11.6679338706881,12.0143718474962,12.3868282477211
"Age dependency ratio, old",SP.POP.DPND.OL,Dominican Republic,DOM,10.3264454631797,10.6058953117632,10.9066947774143
"Age dependency ratio, old",SP.POP.DPND.OL,Ecuador,ECU,10.4817632165548,10.7457671481832,11.042793254305
"Age dependency ratio, old",SP.POP.DPND.OL,El Salvador,SLV,12.3423028813577,12.5752557913593,12.8321331839085
"Age dependency ratio, old",SP.POP.DPND.OL,Guatemala,GTM,7.68605897233138,7.79436503300589,7.92077602816018
"Age dependency ratio, old",SP.POP.DPND.OL,Haiti,HTI,7.71968603052665,7.85736670019451,8.00765841034604
"Age dependency ratio, old",SP.POP.DPND.OL,Mexico,MEX,10.4423173832321,10.6646015035374,10.9087035469333
"Age dependency ratio, old",SP.POP.DPND.OL,Nicaragua,NIC,7.6058315756292,7.84525979529622,8.12924774801218
"Age dependency ratio, old",SP.POP.DPND.OL,Panama,PAN,11.9497638260939,12.215985905297,12.5009462748529
"Age dependency ratio, old",SP.POP.DPND.OL,Puerto Rico,PRI,25.9149101137777,27.373505802367,28.9581637826047
"Age dependency ratio, old",SP.POP.DPND.OL,Virgin Islands (U.S.),VIR,29.353833180237,30.5128516740597,31.6214435643261
"Age dependency ratio, old",SP.POP.DPND.OL,United States,USA,22.7979977332197,23.4614606122294,24.1399756283929
"Age dependency ratio, young",SP.POP.DPND.YG,Argentina,ARG,39.1495996828848,38.8973170540391,38.6157831478467
"Age dependency ratio, young",SP.POP.DPND.YG,Brazil,BRA,31.6581571763669,31.1054767925706,30.5895130929808
"Age dependency ratio, young",SP.POP.DPND.YG,Colombia,COL,35.3520899466847,34.5186578250432,33.7178969569351
"Age dependency ratio, young",SP.POP.DPND.YG,Dominican Republic,DOM,44.0487801184405,43.5499939001072,43.0814740754426
"Age dependency ratio, young",SP.POP.DPND.YG,Ecuador,ECU,44.4866686832813,43.8441858513922,43.2445742046226
"Age dependency ratio, young",SP.POP.DPND.YG,El Salvador,SLV,43.3677426498652,42.5845705437654,42.0125853507251
"Age dependency ratio, young",SP.POP.DPND.YG,Guatemala,GTM,59.6839533765774,58.1730667056772,56.6814175064287
